skill,channel,title,url
Python,freeCodeCamp.org,Python Programming,https://www.youtube.com/@freecodecamp
Machine Learning,Krish Naik,Machine Learning Tutorials,https://www.youtube.com/@krishnaik06
Machine Learning,CampusX,Machine Learning Tutorials,https://www.youtube.com/@campusx-official
Statistics,StatQuest with Josh Starmer,Statistics Tutorials,https://www.youtube.com/@statquest
SQL,freeCodeCamp.org,SQL Tutorials,https://www.youtube.com/@freecodecamp
Pandas,Corey Schafer,Pandas Tutorials,https://www.youtube.com/@coreyms
Git,freeCodeCamp.org,Git and GitHub,https://www.youtube.com/@freecodecamp
Docker,TechWorld with Nana,Docker Tutorials,https://www.youtube.com/@TechWorldwithNana
Power BI,Guy in a Cube,Power BI Tutorials,https://www.youtube.com/@GuyInACube
Deep Learning,freeCodeCamp.org,Deep Learning Tutorials,https://www.youtube.com/@freecodecamp
PyTorch,freeCodeCamp.org,PyTorch Tutorials,https://www.youtube.com/@freecodecamp
FastAPI,freeCodeCamp.org,FastAPI Tutorials,https://www.youtube.com/@freecodecamp
Cybersecurity,NetworkChuck,Cybersecurity Tutorials,https://www.youtube.com/@NetworkChuck
Linux,freeCodeCamp.org,Linux Tutorials,https://www.youtube.com/@freecodecamp
Networking,Professor Messer,Networking Tutorials,https://www.youtube.com/@professormesser
JavaScript,freeCodeCamp.org,JavaScript Tutorials,https://www.youtube.com/@freecodecamp
HTML,freeCodeCamp.org,HTML Tutorials,https://www.youtube.com/@freecodecamp
CSS,freeCodeCamp.org,CSS Tutorials,https://www.youtube.com/@freecodecamp
