course,year,skill,self_rating,projects_completed,level
M.Sc Statistics,1,Data Warehousing,5,2,Advanced
B.Tech ECE,4,Communication,3,2,Intermediate
B.Tech Data Science,4,Docker,2,2,Intermediate
M.Sc Data Science,4,Data Warehousing,4,6,Advanced
B.Tech AI & ML,4,Power BI,2,1,Beginner
B.Tech Data Science,2,Git,3,3,Intermediate
B.Tech ECE,3,OOP,1,1,Beginner
B.Tech IT,4,Research,5,5,Advanced
B.Tech CSE,4,Communication,3,2,Intermediate
BCA,1,Database Administration,2,0,Beginner
B.Tech AI & ML,1,Apache Spark,5,2,Advanced
B.Tech EEE,4,Data Structures,5,5,Advanced
B.Tech CSE,3,Algorithms,3,1,Intermediate
MCA,4,Transformers,2,1,Intermediate
B.Tech Data Science,1,Excel,5,5,Advanced
B.Tech Civil,1,Algorithms,1,6,Intermediate
B.Com,1,Computer Vision,2,2,Beginner
B.Tech CSE,4,SQL,4,6,Advanced
MCA,4,Research,2,6,Intermediate
BCA,1,Deep Learning,1,6,Intermediate
BBA,2,Pandas,2,0,Beginner
M.Sc Data Science,1,Data Warehousing,3,6,Advanced
B.Com,4,Communication,4,4,Advanced
MCA,3,Deep Learning,5,1,Advanced
B.Sc Information Technology,4,Product Analytics,2,2,Beginner
MCA,4,MySQL,2,0,Beginner
M.Sc Computer Science,4,SIEM,1,4,Beginner
B.Tech Data Science,1,Power BI,5,3,Advanced
B.Sc Mathematics,4,Power BI,1,3,Beginner
B.Sc Mathematics,4,Tableau,5,4,Advanced
BBA,2,Testing,4,5,Advanced
B.Sc Information Technology,4,NumPy,4,1,Intermediate
B.Tech Mechanical,3,Scikit-learn,4,1,Advanced
B.Tech CSE,1,Deep Learning,5,2,Advanced
BBA,4,Tableau,2,2,Intermediate
M.Tech,1,SIEM,2,5,Intermediate
BBA,2,Research,4,4,Intermediate
MCA,4,Pandas,4,4,Advanced
M.Sc Statistics,3,Data Visualization,5,6,Advanced
B.Tech AI & ML,3,Statistics,5,0,Advanced
B.Tech IT,3,Algorithms,4,2,Advanced
MBA,3,ETL,1,6,Intermediate
B.Com,2,Research,1,2,Intermediate
B.Tech Data Science,2,Data Warehousing,3,4,Advanced
M.Sc Data Science,3,PyTorch,3,6,Advanced
B.Sc Mathematics,1,REST API,1,6,Intermediate
B.Tech CSE,3,SQL,5,0,Advanced
M.Tech,3,NLP,5,6,Advanced
BBA,1,PostgreSQL,5,4,Advanced
BCA,3,Computer Vision,5,2,Advanced
BBA,3,NumPy,2,6,Advanced
B.Sc Statistics,1,Excel,1,6,Intermediate
B.Sc Data Science,1,CI/CD,3,1,Intermediate
B.Com,3,Linux,1,3,Beginner
B.Sc Statistics,3,Incident Response,2,4,Intermediate
B.Com,2,Product Analytics,1,1,Beginner
B.Sc Information Technology,2,PyTorch,2,6,Intermediate
MBA,3,Kubernetes,5,5,Advanced
B.Sc Computer Science,2,Scikit-learn,2,1,Beginner
BBA,3,Statistics,5,1,Advanced
B.Sc Computer Science,2,Data Warehousing,2,4,Intermediate
BBA,2,Kubernetes,2,4,Advanced
B.Tech IT,1,SQL,4,6,Advanced
B.Sc Mathematics,4,Excel,5,1,Advanced
B.Tech EEE,4,FastAPI,1,3,Beginner
B.Tech IT,3,Apache Spark,2,1,Intermediate
M.Sc Data Science,4,Machine Learning,2,0,Beginner
B.Sc Mathematics,3,Tableau,3,1,Beginner
B.Sc Information Technology,4,Calculus,5,0,Advanced
B.Tech ECE,2,Algorithms,5,0,Intermediate
B.Tech ECE,1,Apache Spark,1,2,Beginner
B.Tech Civil,4,REST API,3,0,Intermediate
B.Tech ECE,1,Cryptography,3,6,Advanced
B.Tech CSE,3,REST API,5,6,Advanced
B.Com,3,Cybersecurity,5,4,Advanced
B.Com,4,Communication,3,2,Intermediate
M.Sc Computer Science,4,Excel,1,3,Beginner
MBA,3,MySQL,1,6,Intermediate
M.Sc Data Science,4,SQL,5,6,Advanced
B.Sc Computer Science,4,FastAPI,4,6,Advanced
M.Tech,1,Research,1,5,Beginner
B.Sc Data Science,2,PyTorch,3,6,Advanced
B.Sc Computer Science,2,Machine Learning,4,0,Intermediate
B.Tech AI & ML,2,PyTorch,5,6,Advanced
M.Sc Computer Science,4,CI/CD,2,1,Intermediate
BCA,2,SQL,5,1,Advanced
M.Tech,3,Database Security,3,0,Intermediate
MCA,1,Statistics,5,6,Advanced
BCA,1,Excel,4,3,Advanced
B.Sc Statistics,4,OOP,1,4,Intermediate
B.Tech IT,3,Transformers,5,3,Advanced
B.Tech IT,3,Excel,4,3,Advanced
M.Sc Data Science,1,OOP,2,6,Intermediate
B.Tech AI & ML,1,Computer Vision,5,3,Advanced
B.Tech ECE,4,Web Security,1,3,Beginner
B.Sc Statistics,3,Data Warehousing,2,4,Intermediate
B.Tech Civil,1,Transformers,3,5,Advanced
M.Sc Computer Science,2,A/B Testing,5,2,Advanced
M.Sc Computer Science,2,CI/CD,4,2,Advanced
B.Tech IT,3,Excel,3,3,Intermediate
B.Com,2,Deep Learning,1,4,Intermediate
B.Tech EEE,1,Transformers,1,2,Beginner
B.Tech AI & ML,1,Machine Learning,5,3,Advanced
B.Sc Statistics,3,PyTorch,1,1,Beginner
B.Sc Mathematics,1,Database Administration,1,4,Intermediate
M.Sc Data Science,2,SQL,3,4,Intermediate
M.Sc Computer Science,3,Power BI,3,1,Intermediate
B.Sc Data Science,2,PostgreSQL,2,3,Intermediate
M.Sc Data Science,1,Python,4,2,Intermediate
M.Tech,4,Git,2,4,Intermediate
MCA,2,Web Security,3,4,Intermediate
MCA,2,Business Analysis,1,2,Beginner
B.Sc Statistics,3,System Design,3,5,Advanced
B.Com,3,Linear Algebra,2,3,Intermediate
B.Sc Computer Science,2,Data Visualization,3,6,Advanced
B.Sc Mathematics,3,Testing,4,6,Advanced
BCA,4,Data Structures,1,3,Beginner
B.Sc Mathematics,3,SIEM,5,4,Advanced
B.Tech Civil,2,Computer Vision,2,6,Advanced
B.Sc Mathematics,4,SIEM,4,5,Advanced
B.Sc Computer Science,2,Machine Learning,3,4,Advanced
B.Sc Information Technology,4,Excel,2,4,Intermediate
B.Tech Data Science,2,REST API,4,6,Advanced
B.Sc Computer Science,1,FastAPI,4,1,Advanced
M.Sc Computer Science,1,Pandas,5,2,Advanced
B.Tech Mechanical,4,NLP,1,2,Beginner
B.Sc Data Science,3,Algorithms,2,5,Intermediate
M.Sc Data Science,1,Excel,3,0,Intermediate
B.Tech Mechanical,1,Excel,3,6,Advanced
B.Tech Mechanical,3,SIEM,5,3,Advanced
B.Tech IT,1,Networking,3,6,Advanced
B.Sc Statistics,3,A/B Testing,3,6,Advanced
B.Tech Data Science,4,Transformers,4,6,Advanced
M.Sc Statistics,3,Cryptography,1,4,Beginner
B.Sc Computer Science,3,A/B Testing,4,6,Advanced
B.Sc Data Science,4,REST API,1,5,Intermediate
B.Sc Information Technology,3,Product Analytics,3,5,Advanced
M.Sc Statistics,2,Business Analysis,1,5,Intermediate
M.Sc Data Science,3,Backup and Recovery,2,3,Intermediate
M.Sc Computer Science,1,NLP,5,2,Advanced
B.Sc Information Technology,1,Deep Learning,2,6,Advanced
B.Sc Statistics,1,Power BI,5,5,Advanced
MCA,3,Power BI,5,2,Advanced
BCA,1,Git,1,2,Beginner
B.Sc Information Technology,2,Tableau,2,4,Intermediate
B.Sc Mathematics,4,PostgreSQL,2,2,Beginner
B.Sc Statistics,2,Web Security,5,2,Advanced
B.Tech AI & ML,1,Scikit-learn,5,0,Advanced
B.Tech IT,4,Database Security,2,4,Intermediate
BCA,4,Scikit-learn,4,2,Advanced
B.Tech Data Science,2,Computer Vision,5,2,Advanced
B.Tech ECE,1,Incident Response,4,5,Advanced
B.Tech EEE,3,Product Analytics,1,0,Beginner
B.Tech IT,4,Tableau,5,2,Advanced
B.Sc Information Technology,2,Calculus,1,4,Beginner
BCA,3,Scikit-learn,1,0,Beginner
B.Tech ECE,4,Docker,1,1,Beginner
B.Sc Computer Science,3,CI/CD,4,4,Advanced
B.Tech AI & ML,3,OpenCV,2,3,Intermediate
M.Sc Statistics,4,Research,1,3,Beginner
M.Sc Statistics,3,Statistics,2,2,Beginner
B.Sc Mathematics,3,OOP,2,2,Beginner
B.Tech AI & ML,2,Tableau,2,4,Intermediate
B.Tech ECE,3,OOP,1,6,Intermediate
B.Tech Civil,3,Algorithms,2,3,Intermediate
B.Tech CSE,3,CI/CD,4,5,Advanced
B.Sc Computer Science,2,Computer Vision,4,6,Advanced
BBA,1,Docker,5,5,Advanced
B.Tech Data Science,4,SIEM,2,6,Intermediate
B.Sc Statistics,2,ETL,1,0,Beginner
B.Sc Mathematics,2,Power BI,3,3,Intermediate
M.Sc Statistics,2,Apache Spark,5,5,Advanced
MBA,4,OOP,2,6,Intermediate
B.Tech Mechanical,1,Machine Learning,5,4,Advanced
B.Tech EEE,4,REST API,2,2,Intermediate
M.Tech,2,Backup and Recovery,1,2,Intermediate
B.Tech EEE,1,Backup and Recovery,3,3,Intermediate
M.Sc Computer Science,3,Cybersecurity,2,5,Intermediate
B.Tech Data Science,3,Machine Learning,2,4,Intermediate
BCA,1,AWS,4,1,Advanced
